backend,n,sort,gpu_ms,cpu_ms,gpu_gitems_s,cpu_gitems_s
cpu,1024,keys,0.084063,0.000000,0.012181,inf
cpu,1024,kv,0.117344,0.000000,0.008726,inf
cpu,2048,keys,0.179063,0.000000,0.011437,inf
cpu,2048,kv,0.271250,0.000000,0.007550,inf
cpu,4096,keys,0.328125,0.000000,0.012483,inf
cpu,4096,kv,0.411093,0.000000,0.009964,inf
cpu,8192,keys,0.586406,0.000000,0.013970,inf
cpu,8192,kv,0.831563,0.000000,0.009851,inf
cpu,16384,keys,0.959375,0.000000,0.017078,inf
cpu,16384,kv,1.097188,0.000000,0.014933,inf
cpu,32768,keys,1.659375,0.000000,0.019747,inf
cpu,32768,kv,2.386719,0.000000,0.013729,inf
cpu,65536,keys,3.573594,0.000000,0.018339,inf
cpu,65536,kv,4.774531,0.000000,0.013726,inf
cpu,131072,keys,7.585156,0.000000,0.017280,inf
cpu,131072,kv,11.068125,0.000000,0.011842,inf
cpu,262144,keys,16.101562,0.000000,0.016281,inf
cpu,262144,kv,22.287188,0.000000,0.011762,inf
cpu,524288,keys,33.973906,0.000000,0.015432,inf
cpu,524288,kv,51.087969,0.000000,0.010262,inf
cpu,1048576,keys,71.614688,0.000000,0.014642,inf
cpu,1048576,kv,103.812344,0.000000,0.010101,inf
