backend,n,sort,gpu_ms,cpu_ms,gpu_gitems_s,cpu_gitems_s
cpu,1024,keys,0.038750,0.000000,0.026426,inf
cpu,1024,kv,0.053750,0.000000,0.019051,inf
cpu,2048,keys,0.080313,0.000000,0.025500,inf
cpu,2048,kv,0.116875,0.000000,0.017523,inf
cpu,4096,keys,0.168438,0.000000,0.024318,inf
cpu,4096,kv,0.217500,0.000000,0.018832,inf
cpu,8192,keys,0.356406,0.000000,0.022985,inf
cpu,8192,kv,0.512500,0.000000,0.015984,inf
cpu,16384,keys,0.762969,0.000000,0.021474,inf
cpu,16384,kv,1.018125,0.000000,0.016092,inf
cpu,32768,keys,1.645468,0.000000,0.019914,inf
cpu,32768,kv,2.387500,0.000000,0.013725,inf
cpu,65536,keys,3.507031,0.000000,0.018687,inf
cpu,65536,kv,4.777657,0.000000,0.013717,inf
cpu,131072,keys,7.601718,0.000000,0.017242,inf
cpu,131072,kv,11.039375,0.000000,0.011873,inf
cpu,262144,keys,16.036094,0.000000,0.016347,inf
cpu,262144,kv,22.235938,0.000000,0.011789,inf
cpu,524288,keys,33.798906,0.000000,0.015512,inf
cpu,524288,kv,50.654219,0.000000,0.010350,inf
cpu,1048576,keys,72.212187,0.000000,0.014521,inf
cpu,1048576,kv,104.204375,0.000000,0.010063,inf
