# version: v0.3.3
backend,n,sort,gpu_ms,cpu_ms,gpu_gitems_s,cpu_gitems_s
vulkan,1024,keys,1.084687,1.649063,0.000944,0.000621
vulkan,1024,kv,1.282031,1.751719,0.000799,0.000585
vulkan,2048,keys,1.177812,1.637344,0.001739,0.001251
vulkan,2048,kv,1.302968,1.952500,0.001572,0.001049
vulkan,4096,keys,1.184531,1.882344,0.003458,0.002176
vulkan,4096,kv,1.344843,2.031094,0.003046,0.002017
vulkan,8192,keys,1.171250,1.880312,0.006994,0.004357
vulkan,8192,kv,1.411250,2.106406,0.005805,0.003889
vulkan,16384,keys,1.281406,2.002188,0.012786,0.008183
vulkan,16384,kv,1.500781,2.210781,0.010917,0.007411
vulkan,32768,keys,1.838125,2.539218,0.017827,0.012905
vulkan,32768,kv,2.290781,2.889219,0.014304,0.011341
vulkan,65536,keys,2.631250,3.211094,0.024907,0.020409
vulkan,65536,kv,3.532031,4.215312,0.018555,0.015547
vulkan,131072,keys,4.520937,6.208281,0.028992,0.021112
vulkan,131072,kv,6.254375,7.505469,0.020957,0.017464
vulkan,262144,keys,7.032344,7.407031,0.037277,0.035391
vulkan,262144,kv,7.850469,9.178594,0.033392,0.028560
vulkan,524288,keys,9.336406,9.782343,0.056155,0.053595
vulkan,524288,kv,18.903282,19.898281,0.027735,0.026348
vulkan,1048576,keys,18.808906,19.897968,0.055749,0.052698
vulkan,1048576,kv,28.037500,30.747813,0.037399,0.034102
