# version: v0.3.3
backend,n,sort,gpu_ms,cpu_ms,gpu_gitems_s,cpu_gitems_s
vulkan,1024,keys,0.285937,0.491563,0.003581,0.002083
vulkan,1024,kv,0.313906,0.516250,0.003262,0.001984
vulkan,2048,keys,0.291250,0.483125,0.007032,0.004239
vulkan,2048,kv,0.327031,0.518282,0.006262,0.003952
vulkan,4096,keys,0.296093,0.488437,0.013833,0.008386
vulkan,4096,kv,0.328593,0.522344,0.012465,0.007842
vulkan,8192,keys,0.303906,0.495157,0.026956,0.016544
vulkan,8192,kv,0.340312,0.531250,0.024072,0.015420
vulkan,16384,keys,0.313125,0.504218,0.052324,0.032494
vulkan,16384,kv,0.357187,0.545157,0.045870,0.030054
vulkan,32768,keys,0.440156,0.632812,0.074446,0.051782
vulkan,32768,kv,0.527187,0.719219,0.062156,0.045561
vulkan,65536,keys,0.627187,0.815312,0.104492,0.080381
vulkan,65536,kv,0.779687,0.975469,0.084054,0.067184
vulkan,131072,keys,1.110937,1.306563,0.117983,0.100318
vulkan,131072,kv,1.458906,1.650625,0.089843,0.079407
vulkan,262144,keys,2.140156,2.335625,0.122488,0.112237
vulkan,262144,kv,3.059531,3.262656,0.085681,0.080347
vulkan,524288,keys,3.924375,4.126718,0.133598,0.127047
vulkan,524288,kv,5.671719,5.867969,0.092439,0.089347
vulkan,1048576,keys,7.530156,7.734063,0.139250,0.135579
vulkan,1048576,kv,11.030312,11.231093,0.095063,0.093364
vulkan,2097152,keys,14.659844,16.401094,0.143054,0.127867
vulkan,2097152,kv,21.693750,23.897813,0.096671,0.087755
vulkan,4194304,keys,28.830782,31.008594,0.145480,0.135263
vulkan,4194304,kv,43.150312,45.457969,0.097202,0.092268
vulkan,8388608,keys,57.239688,59.428593,0.146552,0.141154
vulkan,8388608,kv,85.551248,87.699219,0.098054,0.095652
