# version: v0.3.3
backend,n,sort,gpu_ms,cpu_ms,gpu_gitems_s,cpu_gitems_s
vulkan,1024,keys,0.957968,1.636250,0.001069,0.000626
vulkan,1024,kv,1.238750,1.727656,0.000827,0.000593
vulkan,2048,keys,1.139687,1.719062,0.001797,0.001191
vulkan,2048,kv,1.300625,1.918594,0.001575,0.001067
vulkan,4096,keys,1.089531,1.600937,0.003759,0.002559
vulkan,4096,kv,1.320156,1.834687,0.003103,0.002233
vulkan,8192,keys,1.206093,1.775156,0.006792,0.004615
vulkan,8192,kv,1.384218,1.968125,0.005918,0.004162
vulkan,16384,keys,1.262343,1.817344,0.012979,0.009015
vulkan,16384,kv,1.477187,2.054375,0.011091,0.007975
vulkan,32768,keys,1.821718,2.400000,0.017987,0.013653
vulkan,32768,kv,2.274062,2.851406,0.014409,0.011492
vulkan,65536,keys,2.611562,3.199844,0.025095,0.020481
vulkan,65536,kv,3.490625,4.084062,0.018775,0.016047
vulkan,131072,keys,4.463281,6.332813,0.029367,0.020697
vulkan,131072,kv,5.065625,8.534219,0.025875,0.015358
vulkan,262144,keys,8.724219,12.072031,0.030048,0.021715
vulkan,262144,kv,9.767188,13.481407,0.026839,0.019445
vulkan,524288,keys,16.039219,19.789375,0.032688,0.026493
vulkan,524288,kv,15.640938,18.930469,0.033520,0.027695
vulkan,1048576,keys,20.712500,23.897657,0.050625,0.043878
vulkan,1048576,kv,24.612188,29.076094,0.042604,0.036063
